Epl.,Aufgaben-block,Aggregat,Kapitel,Einnahme /Ausgabe,Haupt-Gr.,Obergruppe,Gruppe,Titel.endn.,Finanzposition,Finanzstelle AOB,Zweckbestimmung,Funktion,Übertragbar,Leertitel,wgf Ansatz,Wegfall ab Gjahr,Deckungsring,E/A- Verknüpfung,E/A-Vermerk,Titelzuordnung,Aus Zuweisung,Sonderkenn-zeichen,Budget-titel = x,NSM-Titel = x,Zuwendungsanteil,Perskosten-anteil,Hafenanteil,Istergebnis VVVJ,Istergebnis VVJ,Reste VVJ ,"fortgeschr. Ansatz KM VJ (inkl. Nachbewilligung)","Nachbewilligungen KM VJ",Grundbew. GJ,"Ansatz KM GJ",VE GJ,Veränderung KM GJ ./. VJ,Ab-weichung in % ,Grundbew GJ+1,Ansatz KM GJ+1,VE GJ+1,Änd KM GJ+1./.GJ,Ab-weichung in % ,"15/26 LHO Merkmal, AöR",Personalkostenvolumen Zuwendung GJ,Zuwendungs-volumen VJ,Zuwendungs-volumen GJ,freies Merkmal
010,01001,21111,1000,AUS,4,42,422,91,01.0.1000.422.91,97.0.00000,"Bezüge der Beamtinnen, Beamten, Richterinnen und Richter ",011,X,,,,KRD-1000,,,0020/KRD,,0000,,,000,100,000,"1,245,629.10 ","1,172,159.76 ","100,000.00 ","1,313,000 ",0 ,"1,396,000 ","1,396,000 ",0 ,"83,000 ",5.9,"1,417,000 ","1,417,000 ",0 ,"21,000 ",1.50,,"1,396,000",0,0,
010,01001,21111,1000,AUS,4,42,427,91,01.0.1000.427.91,97.0.00000,"Beschäftigungsentgelte, Aufwendungen für nebenamtlich und nebenberuflich Tätige ",011,X,,,,KRD-1000,,,0020/KRD,,0000,,,000,100,000,0.00 ,0.00 ,0.00 ,"2,000 ",0 ,"2,000 ","2,000 ",0 ,0 ,0.0,"2,000 ","2,000 ",0 ,0 ,0.00,,"2,000",0,0,
010,01001,21112,1000,AUS,4,42,428,61,01.0.1000.428.61,10.0.00000,Entgelte der Arbeitnehmerinnen und Arbeitnehmer  ,011,,X,,,TGR-010-1000-Z61,,,1000/Z61,,0000,,,000,000,000,0.00 ,-708.41 ,0.00 ,"655,000 ",0 ,0 ,0 ,0 ,"-655,000 ",0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21112,1000,AUS,4,42,428,61,01.0.1000.428.61,97.0.00000,Entgelte der Arbeitnehmerinnen und Arbeitnehmer  ,011,,X,,,TGR-010-1000-Z61,,,1000/Z61,,0000,,,000,000,000,"880,134.74 ","525,952.66 ",0.00 ,0 ,0 ,"690,000 ","690,000 ",0 ,"690,000 ",100.0,"700,000 ","700,000 ",0 ,"10,000 ",1.45,,0,0,0,
010,01001,21111,1000,AUS,4,42,428,91,01.0.1000.428.91,10.0.00000,Entgelte der Arbeitnehmerinnen und Arbeitnehmer  ,011,X,,,,KRD-1000,,,0020/KRD,,0000,,,000,100,000,"-46,961.30 ","-58,985.67 ",0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21111,1000,AUS,4,42,428,91,01.0.1000.428.91,97.0.00000,Entgelte der Arbeitnehmerinnen und Arbeitnehmer  ,011,X,,,,KRD-1000,,,0020/KRD,,0000,,,000,100,000,"2,323,451.80 ","2,627,732.05 ","326,493.65 ","2,327,000 ",0 ,"2,461,000 ","2,461,000 ",0 ,"134,000 ",5.4,"2,498,000 ","2,498,000 ",0 ,"37,000 ",1.50,,"2,461,000",0,0,
010,01001,21112,1000,AUS,4,43,432,61,01.0.1000.432.61,10.0.00000,"Kostenanteil an den Versorgungsbezügen der Beamtinnen, Beamten, Richterinnen und Richter ",018,X,X,,,TGR-010-1000-Z61,,,1000/Z61,,0000,,,000,000,000,0.00 ,0.00 ,"13,250.00 ","56,000 ",0 ,0 ,0 ,0 ,"-56,000 ",0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21112,1000,AUS,4,43,432,61,01.0.1000.432.61,97.0.00000,"Kostenanteil an den Versorgungsbezügen der Beamtinnen, Beamten, Richterinnen und Richter ",018,X,X,,,TGR-010-1000-Z61,,,1000/Z61,,0000,,,000,000,000,0.00 ,0.00 ,712.00 ,0 ,0 ,"59,000 ","59,000 ",0 ,"59,000 ",100.0,"60,000 ","60,000 ",0 ,"1,000 ",1.69,,0,0,0,
010,01001,21111,1000,AUS,4,43,432,91,01.0.1000.432.91,97.0.00000,"Kostenanteil an den Versorgungsbezügen der Beamtinnen, Beamte, Richterinnen und Richter ",018,X,,,,KRD-1000,,,0020/KRD,,0000,,,000,100,000,"354,900.49 ","351,648.27 ",0.00 ,"395,000 ",0 ,"421,000 ","421,000 ",0 ,"26,000 ",6.2,"428,000 ","428,000 ",0 ,"7,000 ",1.66,,"421,000",0,0,
010,01001,21130,1000,AUS,4,43,432,93,01.0.1000.432.93,97.0.00000,"Versorgungsbezüge der Beamtinnen, Beamten, Richterinnen und Richter ",018,,,,,,,,0040/KRV,,0000,,,000,000,000,"102,846.42 ","86,466.86 ",0.00 ,"32,000 ",0 ,"22,000 ","22,000 ",0 ,"-10,000 ",-45.5,"24,000 ","24,000 ",0 ,"2,000 ",9.09,,0,0,0,
010,01001,21112,1000,AUS,4,43,438,61,01.0.1000.438.61,10.0.00000,Kostenanteil an den Versorgungsbezügen der Arbeitnehmerinnen und Arbeitnehmer ,018,,X,,,TGR-010-1000-Z61,,,1000/Z61,,0000,,,000,000,000,0.00 ,0.00 ,0.00 ,"60,000 ",0 ,0 ,0 ,0 ,"-60,000 ",0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21112,1000,AUS,4,43,438,61,01.0.1000.438.61,97.0.00000,Kostenanteil an den Versorgungsbezügen der Arbeitnehmerinnen und Arbeitnehmer ,018,,X,,,TGR-010-1000-Z61,,,1000/Z61,,0000,,,000,000,000,"78,844.22 ","47,256.04 ",0.00 ,0 ,0 ,"63,000 ","63,000 ",0 ,"63,000 ",100.0,"64,000 ","64,000 ",0 ,"1,000 ",1.59,,0,0,0,
010,01001,21111,1000,AUS,4,43,438,91,01.0.1000.438.91,97.0.00000,Kostenanteil an den Versorgungsbezügen der Arbeitnehmerinnen und Arbeitnehmer ,018,X,,,,KRD-1000,,,0020/KRD,,0000,,,000,100,000,"210,336.55 ","235,647.10 ","50,000.00 ","210,000 ",0 ,"223,000 ","223,000 ",0 ,"13,000 ",5.8,"227,000 ","227,000 ",0 ,"4,000 ",1.79,,"223,000",0,0,
010,01001,21111,1000,AUS,4,43,438,91,01.0.1000.438.91,10.0.00000,Kostenanteil an den Versorgungsbezügen der Arbeitnehmerinnen und Arbeitnehmer ,018,X,,,,KRD-1000,,,0020/KRD,,0000,,,000,100,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21130,1000,AUS,4,43,438,93,01.0.1000.438.93,97.0.00000,Versorgungsbezüge der Arbeitnehmerinnen und Arbeitnehmer ,018,,,,,,,,0040/KRV,,0000,,,000,000,000,"-54,620.82 ","-40,736.49 ",0.00 ,"-40,000 ",0 ,"-45,000 ","-45,000 ",0 ,"-5,000 ",11.1,"-53,000 ","-53,000 ",0 ,"-8,000 ",17.78,,0,0,0,
010,01001,21112,1000,AUS,4,44,441,61,01.0.1000.441.61,10.0.00000,Kostenanteil an den Beihilfen  ,840,X,X,,,TGR-010-1000-Z61,,,1000/Z61,,0000,,,000,000,000,0.00 ,0.00 ,"3,093.33 ","8,000 ",0 ,0 ,0 ,0 ,"-8,000 ",0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21112,1000,AUS,4,44,441,61,01.0.1000.441.61,97.0.00000,Kostenanteil an den Beihilfen  ,840,X,X,,,TGR-010-1000-Z61,,,1000/Z61,,0000,,,000,000,000,0.00 ,0.00 ,95.00 ,0 ,0 ,"9,000 ","9,000 ",0 ,"9,000 ",100.0,"10,000 ","10,000 ",0 ,"1,000 ",11.11,,0,0,0,
010,01001,21111,1000,AUS,4,44,441,91,01.0.1000.441.91,97.0.00000,Kostenanteil an den Beihilfen  ,840,X,,,,KRD-1000,,,0020/KRD,,0000,,,000,100,000,"47,319.97 ","46,886.31 ",0.00 ,"53,000 ",0 ,"56,000 ","56,000 ",0 ,"3,000 ",5.4,"57,000 ","57,000 ",0 ,"1,000 ",1.79,,"56,000",0,0,
010,01001,21120,1000,AUS,4,44,441,92,01.0.1000.441.92,97.0.00000,Beihilfen  ,840,,X,,,KRN-010,,,0031/KRN,,0000,,,000,100,000,"27,576.80 ","37,326.51 ",0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21120,1000,AUS,4,44,441,92,01.0.1000.441.92,10.0.00000,Beihilfen  ,840,,X,,,KRN-010,,,0031/KRN,,0000,,,000,100,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21120,1000,AUS,4,44,443,92,01.0.1000.443.92,97.0.00000,Fürsorgeleistungen und Unterstützungen  ,840,,,,,KRN-010,,,0031/KRN,,0000,,,000,100,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21130,1000,AUS,4,44,446,93,01.0.1000.446.93,97.0.00000,"Beihilfen in Krankheitsfällen u.a. für Versorgungsempfängerinnen, Versorgungsempfänger ",018,,,,,,,,0040/KRV,,0000,,,000,000,000,"47,313.00 ","41,879.07 ",0.00 ,"68,000 ",0 ,"72,000 ","72,000 ",0 ,"4,000 ",5.6,"74,000 ","74,000 ",0 ,"2,000 ",2.78,,0,0,0,
010,01001,21120,1000,AUS,4,45,451,92,01.0.1000.451.92,97.0.00000,Zuschüsse zur Gemeinschaftsverpflegung und zu Gemeinschaftsveranstaltungen sowie für soziale Einrichtungen,840,,X,,,KRN-010,,,0032/KRN,,0000,,,000,100,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21120,1000,AUS,4,45,459,92,01.0.1000.459.92,10.0.00000,Sonstige personalbezogene Sachausgaben  ,840,,X,,,KRN-010,,,0032/KRN,,0000,,,000,100,000,484.00 ,311.71 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21120,1000,AUS,4,45,459,92,01.0.1000.459.92,11.0.00000,Sonstige personalbezogene Sachausgaben  ,840,,X,,,KRN-010,,,0032/KRN,,0000,,,000,100,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21120,1000,AUS,4,45,459,95,01.0.1000.459.95,10.0.00000,Prämien im Rahmen des betrieblichen Vorschlagwesens ,840,,X,,,,,,,,0000,,,000,100,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21120,1000,AUS,4,45,459,95,01.0.1000.459.95,97.0.00000,Prämien im Rahmen des betrieblichen Vorschlagwesens ,840,,X,,,,,,,,0000,,,000,100,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21120,1000,AUS,4,46,461,01,01.0.1000.461.01,10.0.00000,Zentral veranschlagte Personalausgaben des Kapitels 1000 ,011,X,X,,,,,,,,0000,,,000,100,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21330,1000,AUS,5,51,511,99,01.0.1000.511.99,10.0.00000,"Geschäftsbedarf und Kommunikation sowie Geräte und Ausstattungsgegenstände, sonst Gebrauchsgegenstände",011,X,,,,KRS-010,,,0010/KRS,,0000,X,,000,000,000,"126,477.95 ","108,724.93 ",0.00 ,"155,000 ",0 ,"155,000 ","155,000 ",0 ,0 ,0.0,"155,000 ","155,000 ",0 ,0 ,0.00,,0,0,0,
010,01001,21330,1000,AUS,5,51,511,99,01.0.1000.511.99,11.0.00000,"Geschäftsbedarf und Kommunikation sowie Geräte und Ausstattungsgegenstände, sonst Gebrauchsgegenstände",011,X,,,,KRS-010,,,0010/KRS,,0000,X,,000,000,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21330,1000,AUS,5,51,517,99,01.0.1000.517.99,10.0.00000,Bewirtschaftung der Grundstücke  ,011,X,,,,KRS-010,,,0010/KRS,,0000,X,,000,000,000,"511,986.43 ","567,987.88 ",0.00 ,"485,000 ",0 ,"485,000 ","485,000 ",0 ,0 ,0.0,"485,000 ","485,000 ",0 ,0 ,0.00,,0,0,0,
010,01001,21330,1000,AUS,5,51,517,99,01.0.1000.517.99,11.0.00000,Bewirtschaftung der Grundstücke  ,011,X,,,,KRS-010,,,0010/KRS,,0000,X,,000,000,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21330,1000,AUS,5,51,518,99,01.0.1000.518.99,10.0.00000,Mieten und Pachten  ,011,X,,,,KRS-010,,,0010/KRS,,0000,X,,000,000,000,"715,948.20 ","826,056.70 ",0.00 ,"910,000 ",0 ,"910,000 ","910,000 ",0 ,0 ,0.0,"910,000 ","910,000 ",0 ,0 ,0.00,,0,0,0,
010,01001,21330,1000,AUS,5,51,518,99,01.0.1000.518.99,11.0.00000,Mieten und Pachten  ,011,X,,,,KRS-010,,,0010/KRS,,0000,X,,000,000,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21340,1000,AUS,5,51,519,01,01.0.1000.519.01,10.0.00000,Unterhaltung der Grundstücke und baulichen Anlagen  ,011,X,,,,,,,,,0000,X,,000,000,000,"317,222.47 ","195,298.77 ",0.00 ,"244,000 ",0 ,"244,000 ","244,000 ",0 ,0 ,0.0,"244,000 ","244,000 ",0 ,0 ,0.00,,0,0,0,
010,01001,21340,1000,AUS,5,51,519,01,01.0.1000.519.01,11.0.00000,Unterhaltung der Grundstücke und baulichen Anlagen  ,011,X,,,,,,,,,0000,X,,000,000,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21340,1000,AUS,5,52,523,01,01.0.1000.523.01,10.0.00000,Mikroverfilmung von Parlamentsmaterialien  ,011,X,X,,,,,,,,0000,X,,000,000,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21340,1000,AUS,5,52,523,02,01.0.1000.523.02,10.0.00000,"Bücher, Zeitschriften und Medien der Parlamentsbibliothek ",011,X,,,,,,,,,0000,X,,000,000,000,"58,401.18 ","58,513.16 ",0.00 ,"57,000 ",0 ,"60,000 ","60,000 ",0 ,"3,000 ",5.0,"60,000 ","60,000 ",0 ,0 ,0.00,,0,0,0,
010,01001,21340,1000,AUS,5,52,525,91,01.0.1000.525.91,10.0.00000,Aus- und Fortbildung  ,011,X,,,,,,,,,0000,X,,000,000,000,"12,752.91 ",695.00 ,0.00 ,"6,000 ",0 ,"6,000 ","6,000 ",0 ,0 ,0.0,"6,000 ","6,000 ",0 ,0 ,0.00,,0,0,0,
010,01001,21340,1000,AUS,5,52,525,92,01.0.1000.525.92,10.0.00000,Erstattung an das Zentrum für Aus- und Fortbildung  ,012,,,,,,,,,,0000,X,,000,000,000,"5,687.75 ","6,000.00 ",0.00 ,"6,000 ",0 ,"6,000 ","6,000 ",0 ,0 ,0.0,"6,000 ","6,000 ",0 ,0 ,0.00,,0,0,0,
010,01001,21330,1000,AUS,5,52,527,99,01.0.1000.527.99,10.0.00000,Dienstreisen  ,011,X,,,,KRS-010,,,0010/KRS,,0000,X,,000,000,000,"11,933.89 ","9,665.16 ",0.00 ,"18,000 ",0 ,"18,000 ","18,000 ",0 ,0 ,0.0,"18,000 ","18,000 ",0 ,0 ,0.00,,0,0,0,
010,01001,21340,1000,AUS,5,52,529,01,01.0.1000.529.01,10.0.00000,Verfügungsmittel  des Präsidenten  ,011,X,,,,,,,,,0000,X,,000,000,000,"12,103.61 ","11,040.06 ",0.00 ,"13,000 ",0 ,"13,000 ","13,000 ",0 ,0 ,0.0,"13,000 ","13,000 ",0 ,0 ,0.00,,0,0,0,
010,01001,21340,1000,AUS,5,53,531,02,01.0.1000.531.02,10.0.00000,Öffentlichkeitsarbeit der Bürgerschaft  ,011,X,,,,TIT-010-1000-01,,,,,0000,X,,000,000,000,"80,514.49 ","386,938.23 ",0.00 ,"68,000 ",0 ,"98,000 ","98,000 ",0 ,"30,000 ",30.6,"268,000 ","268,000 ",0 ,"170,000 ",173.47,,0,0,0,
010,01001,21310,1000,AUS,5,53,531,03,01.0.1000.531.03,10.0.00000,Abgeltung von Ansprüchen nach dem Urheberrecht  ,011,X,,,,,,,,,1900,,,000,000,000,"129,215.44 ","131,934.72 ",0.00 ,"156,000 ",0 ,"118,000 ","118,000 ",0 ,"-38,000 ",-32.2,"118,000 ","118,000 ",0 ,0 ,0.00,,0,0,0,
010,01001,21340,1000,AUS,5,53,534,01,01.0.1000.534.01,10.0.00000,"Sonstige Ausgaben für das Plenum, die Abgeordneten und die Ausschüsse ",011,X,,,,,,,,,0000,X,,000,000,000,"579,827.43 ","469,948.03 ",0.00 ,"470,000 ",0 ,"440,000 ","440,000 ",0 ,"-30,000 ",-6.8,"440,000 ","440,000 ",0 ,0 ,0.00,,0,0,0,
010,01001,21340,1000,AUS,5,53,534,03,01.0.1000.534.03,10.0.00000,"Veranstaltungen der Bürgerschaft, Arbeitstagungen, Besuche ",011,X,,,,TIT-010-1000-01,3EMA11AUS,MA = E,,,0000,X,,000,000,000,"150,359.47 ","245,378.41 ",0.00 ,"275,000 ",0 ,"315,000 ","315,000 ",0 ,"40,000 ",12.7,"375,000 ","375,000 ",0 ,"60,000 ",19.05,,0,0,0,
010,01001,21340,1000,AUS,5,53,534,03,01.0.1000.534.03,37.0.00000,"Veranstaltungen der Bürgerschaft, Arbeitstagungen, Besuche ",011,X,,,,TIT-010-1000-01,3EMA11AUS,MA = E,,,0000,X,,000,000,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
010,01001,21340,1000,AUS,5,53,534,05,01.0.1000.534.05,10.0.00000,Sächliche Aufwendungen für parlamentarische Gremien und Funktionsträger ,011,X,X,X,2011,,3EA11AUS,A = E,,,3000,X,,000,000,000,0.00 ,0.00 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0.0,0 ,0 ,0 ,0 ,0.00,,0,0,0,
